entry_number,gulper_id,task,subtask,entry_start_time,entry_end_time,duration_seconds,job_id,,,,,,,,,,,,,,,,,,
80,23,Fluidizing,Mixing,15:28:23,15:29:18,55.2,2026-05-31_01,,,,,,,,,,,,,,,,,,
81,23,Fluidizing,Adding water,15:29:18,15:30:06,47.6,2026-05-31_01,,,,,,,,,,,,,,,,,,
82,23,Fluidizing,Mixing,15:30:06,15:30:52,46,2026-05-31_01,,,,,,,,,,,,,,,,,,
83,23,Extraction,Removing sludge,15:30:52,15:35:22,270.2,2026-05-31_01,,,,,,,,,,,,,,,,,,
84,23,Fluidizing,Adding water,15:35:22,15:35:34,12.7,2026-05-31_01,,,,,,,,,,,,,,,,,,
85,23,Fluidizing,Mixing,15:35:34,15:36:31,56.9,2026-05-31_01,,,,,,,,,,,,,,,,,,
86,23,Fluidizing,Adding water,15:36:31,15:36:56,25,2026-05-31_01,,,,,,,,,,,,,,,,,,
87,23,Extraction,Removing sludge,15:36:56,15:37:51,55,2026-05-31_01,,,,,,,,,,,,,,,,,,
88,23,Earthworks,Repair pit liner,15:37:51,15:40:19,147.6,2026-05-31_01,,,,,,,,,,,,,,,,,,
89,23,Earthworks,Fill trench,15:40:24,15:53:39,794.9,2026-05-31_01,,,,,,,,,,,,,,,,,,
90,23,Superstructure,Cleaning,15:53:39,15:55:20,101,2026-05-31_01,,,,,,,,,,,,,,,,,,
91,23,Equipment,Cleaning,15:55:21,16:00:23,301.5,2026-05-31_01,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
